Macchina	Stallo	Tecnico	Prova	Start	End	Stato	Export time
L2020	1	Max	20-0463	17/08/2020 07:50	17/08/2020 07:50	In progress	17/08/2020 07:50
L2020	2	Max	20-0463	17/08/2020 07:50	17/08/2020 07:50	In progress	17/08/2020 07:50
L2020	3	Max	20-0463	17/08/2020 07:50	17/08/2020 07:50	In progress	17/08/2020 07:50
L2020	4	Max	20-0463	17/08/2020 07:50	17/08/2020 07:50	In progress	17/08/2020 07:50
L2020	6	Max	20-0463	17/08/2020 07:50	17/08/2020 07:50	In progress	17/08/2020 07:50
L2020	7	Max	20-0463	17/08/2020 07:50	17/08/2020 07:50	In progress	17/08/2020 07:50
L2020	8	Max	20-0463	17/08/2020 07:50	17/08/2020 07:50	In progress	17/08/2020 07:50
L2020	9	Max	20-0463	17/08/2020 07:50	17/08/2020 07:50	In progress	17/08/2020 07:50
