Macchina	Stallo	Tecnico	Prova	Start	End	Stato	Export time
L232	1	Max	20-0463	17/08/2020 07:50	17/08/2020 07:50	In progress	17/08/2020 07:50
L232	2	Max	20-0463	17/08/2020 07:50	17/08/2020 07:50	In progress	17/08/2020 07:50
L232	3	Max	20-0463	17/08/2020 07:50	17/08/2020 07:50	In progress	17/08/2020 07:50
L232	4	Max	20-0463	17/08/2020 07:50	17/08/2020 07:50	In progress	17/08/2020 07:50
L232	6	Max	20-0463	17/08/2020 07:50	17/08/2020 07:50	In progress	17/08/2020 07:50
L232	7	Max	20-0463	17/08/2020 07:50	17/08/2020 07:50	In progress	17/08/2020 07:50
L232	8	Max	20-0463	17/08/2020 07:50	17/08/2020 07:50	In progress	17/08/2020 07:50
L232	9	Max	20-0463	17/08/2020 07:50	17/08/2020 07:50	In progress	17/08/2020 07:50
